date,present,employee,attendance_rate,holiday_name,holiday_type,is_holiday,day_of_week,is_weekday,is_weekend,month,year,week_of_year,day_of_month,is_month_start,is_month_end,woy_sin,woy_cos,before_holiday,after_holiday,is_sandwich_day,lag_1,lag_7,lag_14,lag_30,rolling_7,rolling_14,rolling_30,rolling_std_7,rolling_std_14
2024-06-19,311,325,0.9569230769230769,,None,0,2,1,0,6,2024,25,19,0,0,0.12053668025532308,-0.992708874098054,0,1,1,0.8492307692307692,0.9753846153846154,0.9813664596273292,0.9444444444444444,0.9425358481292434,0.9595793324117065,0.961885758893808,0.07206145841437916,0.05345468170200071
2024-06-20,313,325,0.963076923076923,,None,0,3,1,0,6,2024,25,20,0,0,0.12053668025532308,-0.992708874098054,0,0,0,0.9569230769230769,0.9135802469135802,0.9566563467492261,0.953416149068323,0.9398984854918807,0.9578333765042597,0.9623017133097623,0.07098871248685193,0.0530862423570504
2024-06-21,312,324,0.9629629629629629,,None,0,4,1,0,6,2024,25,21,0,0,0.12053668025532308,-0.992708874098054,0,0,0,0.963076923076923,0.891640866873065,0.9659442724458205,0.9472049689440993,0.9469694392295012,0.9582919890990953,0.962623739110049,0.07039292741811026,0.05310302286277327
2024-06-24,313,323,0.9690402476780186,,None,0,0,1,0,6,2024,26,24,0,0,-3.216245299353273e-16,-1.0,0,0,0,1.0,0.9090909090909091,0.96,1.0,0.9487549487549487,0.9580790384217482,0.9680681662240592,0.053547663877821436,0.05307594643359173
2024-06-25,316,325,0.9723076923076923,,None,0,1,1,0,6,2024,26,25,0,0,-3.216245299353273e-16,-1.0,0,0,0,0.9690402476780186,0.8492307692307692,0.9723926380368099,1.0,0.9573191399816786,0.9587247703987496,0.9670361744799932,0.05087395134215672,0.05315604720331118
2024-06-26,316,326,0.9693251533742331,,None,0,2,1,0,6,2024,26,26,0,0,-3.216245299353273e-16,-1.0,0,0,0,0.9723076923076923,0.9569230769230769,0.9753846153846154,0.9353846153846154,0.9749015575640962,0.9587187028466698,0.9661130975569162,0.017825658023997725,0.05315437188188371
2024-06-27,307,326,0.941717791411043,,None,0,3,1,0,6,2024,26,27,0,0,-3.216245299353273e-16,-1.0,0,0,0,0.9693251533742331,0.963076923076923,0.9135802469135802,0.9659442724458205,0.9766732827714043,0.9582858841316425,0.9672444488232369,0.016291214145405963,0.05303275892934826
2024-06-28,293,324,0.904320987654321,,None,0,4,1,0,6,2024,26,28,0,0,-3.216245299353273e-16,-1.0,0,0,0,0.941717791411043,0.9629629629629629,0.891640866873065,0.9565217391304348,0.9736219782477071,0.960295708738604,0.966436899455411,0.020673147293921522,0.05172524448659452
2024-07-01,306,324,0.9444444444444444,,None,0,0,1,0,7,2024,27,1,1,0,-0.12053668025532283,-0.992708874098054,0,0,0,1.0,0.9690402476780186,0.9090909090909091,1.0,0.9652445532036155,0.956999750979282,0.9669590003092,0.03357086547393809,0.04378075322181651
2024-07-02,316,326,0.9693251533742331,,None,0,1,1,0,7,2024,27,2,0,0,-0.12053668025532283,-0.992708874098054,0,0,0,0.9444444444444444,0.9723076923076923,0.8492307692307692,1.0,0.9617308670273905,0.9595250035045346,0.965107148457348,0.03438467038776344,0.04177863695108308
2024-07-03,310,325,0.9538461538461539,,None,0,2,1,0,7,2024,27,3,0,0,-0.12053668025532283,-0.992708874098054,0,0,0,0.9693251533742331,0.9693251533742331,0.9569230769230769,0.9504643962848297,0.9613047900368963,0.9681031738004963,0.9640846535698225,0.03424997933562836,0.027163243428229573
